text,label
"aplikasinya enteng, gk pernah error 👌 fiturnya lengkap",positif
baru sebulan udah harus servis 😖 kecewa berat,negatif
warnanya sama persis kayak foto 📸 seneng bgt,positif
tampilannya simpel tapi powerful 💡 suka bgt,positif
"suaranya jernih 🎧 bass-nya mantap, worth the price",positif
adminnya sabar jelasin sampai paham 😇 top,positif
baterai boros bgt 🔌 belum setengah hari udah abis,negatif
pelayanan lambat bgt 😤 udah nunggu 2 jam,negatif
harga murah tapi kualitas gk murahan 😎,positif
baterainya awet seharian 🔋 nyaman dipakai,positif
sering keluar sendiri pas dipakai 😵 banyak iklan,negatif
barangnya bagus bgt 😍 pengiriman cepet 🚀 recommended!,positif
"bahannya tipis, jahitan berantakan 😒 zonk",negatif
"driver sopan, makanan masih anget 🍲 mantul",positif
"produk gk ada garansi, beda sama yang dijanjiin 😡",negatif
produk ori bergaransi ✅ aman belanja di sini,positif
kualitas jelek 👎 baru seminggu udah rusak,negatif
"dus penyok, isinya bocor 😭 packing asal-asalan",negatif
pengiriman lelet 🐌 udah lewat estimasi 5 hari,negatif
aplikasi error mulu 😩 gk bisa dibuka abis update,negatif
"servis cepet, teknisi datang tepat waktu ⏰ rapi kerjanya",positif
udah komplain tapi gk ada tanggapan 😠 pelayanan nol,negatif
"rasanya juara 🤤 porsi gede, worth it 💯",positif
"rasanya hambar 😐 porsi kecil, kemahalan",negatif
"menu yang dipesan salah, udah antre lama 😣",negatif
"sudah langganan di sini, gk pernah kecewa 😊",positif
udah pake 3 bulan masih awet 💪 gk nyesel beli,positif
"pelayanan ramah 😊 makanan enak, harga oke 👍",positif
"ac gk dingin, wifi lemot 😫 gk worth harganya",negatif
"ukurannya pas, bahannya adem 👕 puas bgt",positif
adminnya lama bales 😑 ditanya gk dijawab,negatif
ongkir mahal tapi barang dibungkus asal 😾,negatif
gk sesuai gambar 😞 warnanya beda jauh,negatif
kamarnya bersih ✨ staf helpful bgt 🙏,positif
ukurannya kekecilan padahal udah ikut size chart 😔,negatif
"kualitas mantap 🔥 sesuai deskripsi, puas 😁",positif
packing rapi bgt 📦 seller fast respon ⚡,positif
"kamarnya kotor 🤢 kamar mandi bau, kapok",negatif
sampai lebih cepet dari estimasi 🎉 makasih ya 🙌,positif
barang datang rusak 😡 seller susah dihubungi,negatif
