label,message
ham,"My train is delayed again, I should arrive by six if nothing else happens"
ham,"Thanks for helping with the presentation, it went really well"
spam,"Special discount tickets for the theatre this weekend, book now at cheap-tickets-uk.com"
ham,Could you share the dataset link again? I lost it when my laptop restarted
spam,URGENT: tax refund of £458.20 pending. Submit your details at hmrc-refund-service.com
ham,"Sorry I missed your call, I was in a meeting. What did you need?"
spam,Final notice: claim your cash reward of £2000 within 12 hours or it expires. Call 08000930705
ham,Am also doing in cbe only. But have to pay to get the certificate
ham,"We are going to the beach on Sunday, are you free to join us?"
spam,"Massive clearance sale, everything must go, up to 90% off, shop now before it ends tonight"
spam,You are the lucky winner of our anniversary draw. Send your full name and address to claim
ham,The restaurant was fully booked so I reserved a table for next Friday instead
ham,Can we reschedule our discussion to Thursday? Something came up on Wednesday
spam,Your PayPal account has limited access. Restore it here: http://paypal-secure-restore.com
ham,"I will be a bit late for the lecture this morning, traffic is terrible"
ham,"Please bring your laptop tomorrow, we need to test the demo together"
spam,"Last chance! Your free trial ends today. Upgrade now and get 3 months free, click the link"
ham,"Let me know if the code runs on your machine, it works fine on mine"
ham,"I left the charger in your car, can you bring it tomorrow?"
spam,URGENT! Your account will be suspended. Verify your details at http://secure-verify.co within 24 hours
ham,Did you finish reading the paper? I found section 3 quite confusing
ham,Mom said she will call you tonight about the weekend plan
spam,"Your subscription is expiring. Renew now to keep your account, click http://renew-now.biz"
ham,"I think the bug is in the preprocessing function, I'll check it tonight"
spam,FREE ringtone! Just text FIRST to 87131 for a poly or text GET to 87131 for your true tone
spam,Important: unusual login detected on your account. Confirm identity at http://verify-login.top
ham,"Thanks for the information, I really appreciate you taking the time"
ham,Please review the draft and tell me what you think before I submit it
spam,"Get slim fast with our miracle pills, lose 10kg in 2 weeks, order today at slimfast-pills.net"
ham,I ordered the book online and it should arrive by the end of the week
spam,"Your insurance claim has been approved for £3,400. Call our claims line now on 08451234567"
spam,EXCLUSIVE offer just for you: 70% OFF everything today only. Use code SAVE70 before midnight
ham,"The wifi in the lab is down again, I'm working from the library instead"
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry
spam,"Buy 1 get 2 FREE on all products, limited time deal, order now before stock runs out"
spam,FREE camera phone with 12 months half price line rental. Call 08000938767 to upgrade now
spam,"Cash prize of £5000 waiting for you, no purchase necessary. Reply YES to enter the draw"
ham,"Hope you are having a good week, just checking in on the assignment progress"
spam,Your number was randomly selected for a complimentary spa weekend. Call 09099726395 to book
spam,"Your mobile number has won 50,000 USD in our lottery draw. Reply with your bank details to collect"
spam,"Get cheap loans approved instantly, no credit check needed. Apply now at www.fastcash-loan.com"
ham,"The results came out today and I passed the exam, so relieved"
ham,"I'm running out of data quota, will reply properly when I get to wifi"
spam,"Hot singles in your area are waiting to chat. Text CHAT to 69696, only 25p per message"
ham,"I'm at the cafe near campus, come over when you finish the lab session"
spam,"Win a brand new car! Simply answer 3 questions and text CAR to 85233. T&C apply, 18+ only"
ham,"Reminder: group meeting at 10 am in room 7601, bring your progress notes"
ham,"Just landed, will text you once I get to the hotel and settle in"
spam,You have 1 new voicemail from a prize claims department. Dial 08712460324 to listen now
ham,"See you tomorrow at the library, I'll bring the book you asked for"
spam,"Congratulations! You have WON a $1,000 Walmart gift card. Click http://bit.ly/2claim to claim now"
ham,Happy birthday! Hope you have a great day with your family
ham,"Great news, the client approved the proposal without any revision"
spam,"Reply WIN now to enter our daily £1000 cash draw, standard network rates apply"
ham,Are you coming to the seminar? The speaker is from the industry
ham,"Thanks for dinner last night, the food was really good"
spam,Loan approved! Up to £10000 deposited today with no paperwork. Reply LOAN for details
spam,You've been pre-approved for a platinum credit card with 0% interest. Apply in 2 minutes
ham,"Don't forget dinner on Friday at the usual place, around 7 pm"
ham,Can you send me the meeting notes from yesterday? I missed the last part
ham,"The assignment deadline was moved to next Monday, so we have more time"
spam,"Double your bitcoin in 24 hours, guaranteed returns. Invest now at crypto-doubler.net"
ham,"Study group moved to the second floor, the usual room is occupied"
ham,Congratulations on your new job! We should celebrate this weekend
ham,Do you want anything from the canteen? I'm heading there in five minutes
spam,"Congratulations, your email won our international promotion. Contact claims@lucky-notify.com"
spam,You have unclaimed reward points worth $300 expiring tonight. Redeem at rewards-claim.xyz
ham,Send me your address so I can post the documents tomorrow morning
ham,"Just a heads up, the deadline for the scholarship is this Friday"
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward
ham,"The lecturer uploaded the slides, check the course page when you get a chance"
spam,Your parcel is on hold due to unpaid shipping fee of $2.99. Pay here: http://track-parcel.info
ham,"My flight got cancelled so I'll be home later than planned, don't wait up"
spam,"Claim your free iPhone 15 today, only 5 units left. Register at http://tinyurl.com/freephone15"
spam,"Earn $500 per day working from home, no experience needed. Whatsapp +447700900123 to start"
spam,"Text STOP to opt out. But first, claim your FREE £50 Amazon voucher by replying CLAIM"
spam,"Meet local girls tonight, no strings attached. Join free at datefast.mobi, 18+ only"
spam,Alert: your Netflix payment failed. Update your card at netflix-billing-update.info now
spam,"You have been selected for a FREE holiday to Ibiza. Call 09061701461 now, claim code KL341"
spam,"Attention customer, your bank card has been blocked. Call 08001234567 immediately to reactivate"
