text,labels
Tim nasional menang tiga gol tanpa balas pada laga kualifikasi,olahraga
Pelatih menyebut kondisi pemain membaik menjelang laga final,olahraga
Klub itu resmi mendatangkan pemain gelandang dengan kontrak tiga musim,olahraga|teknologi
Gol tunggal striker muda memastikan kemenangan tim tuan rumah,olahraga
Wasit mengeluarkan kartu merah setelah pelanggaran keras di kotak penalti,ekonomi|olahraga
Juara bertahan tersingkir setelah kalah adu penalti pada laga perempat final,olahraga
Pelatih kepala mengundurkan diri setelah rangkaian hasil buruk timnya,olahraga
Kompetisi liga musim ini diikuti delapan belas klub peserta,olahraga
Cedera lutut membuat pemain andalan absen hingga akhir musim,olahraga
Tim putri meraih medali emas pada kejuaraan beregu tingkat Asia,olahraga
Pertandingan ditunda karena hujan deras mengguyur stadion sejak sore,olahraga
Kapten tim menyatakan siap tampil meski baru pulih dari cedera,olahraga
Suporter memadati stadion untuk mendukung tim kesayangan mereka,olahraga
Pemain muda itu memecahkan rekor gol terbanyak sepanjang musim liga,olahraga
Federasi menjatuhkan sanksi larangan bertanding tiga laga bagi pemain itu,olahraga|politik
Atlet nasional memperbaiki catatan waktu terbaiknya pada babak final,olahraga
Bursa transfer ditutup dengan pembelian pemain termahal sejarah klub,olahraga
Tim tamu gagal memanfaatkan peluang gol pada menit akhir pertandingan,olahraga
Turnamen tahunan akan digelar pekan depan dengan peserta dari sepuluh negara,olahraga
Pelatih memuji mental pemain setelah menang pada laga tandang,olahraga
Klub promosi mengejutkan juara liga dengan kemenangan dua gol,olahraga
Kapten tim mengangkat trofi juara setelah pertandingan final berakhir,olahraga
Perusahaan teknologi merilis ponsel pintar terbaru dengan kamera resolusi tinggi,teknologi
Model kecerdasan buatan generatif kini dipakai membantu pengguna menulis kode,teknologi
Peneliti mengembangkan baterai perangkat yang terisi penuh dalam sepuluh menit,teknologi
Layanan komputasi awan perusahaan itu mengalami gangguan selama tiga jam,teknologi
Pembaruan perangkat lunak menambal celah keamanan yang dilaporkan bulan lalu,teknologi
Startup teknologi mengumumkan pendanaan untuk mengembangkan platform data,teknologi
Chip prosesor generasi terbaru diklaim lebih hemat daya dari pendahulunya,teknologi
Regulasi digital mewajibkan platform melindungi data pribadi pengguna,teknologi
Mobil listrik otonom mulai diuji coba di jalan raya beberapa kota,teknologi
Jaringan internet satelit menjangkau wilayah terpencil di kawasan timur,teknologi
Perangkat lunak sumber terbuka itu dipakai jutaan pengembang di dunia,teknologi
Serangan siber melumpuhkan layanan digital sebuah lembaga selama dua hari,teknologi
Teknologi pengenalan wajah menuai perdebatan soal privasi data pengguna,teknologi
Pusat data baru dibangun untuk mendukung kebutuhan komputasi awan,teknologi
Ponsel lipat generasi kedua hadir dengan engsel lebih tahan lama,teknologi
