text,label
"Bahannya tipis dan jahitannya berantakan, tidak sebanding dengan harganya",negatif
"Pengiriman cepat, seller responsif, barang sesuai foto. Terima kasih ya",positif
"Barangnya sampai cepat banget, packing rapi, kualitasnya sesuai deskripsi. Recommended seller!",positif
"Baterainya boros banget, belum setengah hari sudah habis padahal jarang dipakai",negatif
Pesanan datang lebih cepat dari estimasi dan kondisinya mulus tanpa cacat,positif
"Ukurannya kekecilan padahal sudah ikut size chart, mengecewakan",negatif
"Harga murah tapi kualitasnya tidak murahan, cocok buat yang cari barang hemat",positif
"Kualitas suaranya jernih, bass-nya mantap, nyaman dipakai berjam-jam",positif
"Ukurannya pas sesuai size chart, warnanya juga sama persis dengan gambar",positif
"Rasanya hambar, sudah gitu porsinya kecil. Tidak recommended sama sekali",negatif
"AC-nya tidak dingin, wifi lemot, sarapannya seadanya. Tidak worth harganya",negatif
"Barang original, garansi resmi, dikirim pakai bubble wrap tebal. Mantap",positif
"Fiturnya membingungkan, banyak iklan, dan sering keluar sendiri waktu dipakai",negatif
"Kamarnya kotor, tidak sesuai dengan foto, kamar mandinya bau. Tidak akan menginap lagi",negatif
Tempatnya bagus tapi makanannya tidak enak dan harganya kemahalan untuk porsi segitu,negatif
"Kualitas produk bagus banget untuk harga segini, jahitannya rapi dan bahannya adem",positif
"Adminnya lama balas chat, sudah ditanya berkali-kali tidak dijawab",negatif
"Pelayanan kasirnya jutek, sudah antre lama malah salah pesanan",negatif
"Sudah komplain tapi tidak ada tanggapan, pelayanan purna jualnya nol",negatif
"Aplikasi sering error dan tidak bisa dibuka setelah update terakhir, tolong diperbaiki",negatif
"Baru sebulan sudah harus servis, kualitas kontrol produknya buruk",negatif
"Makanannya masih hangat waktu sampai, drivernya juga sopan",positif
"Rasanya enak dan porsinya besar, tempatnya juga nyaman buat nongkrong lama",positif
"Aplikasinya mudah digunakan dan jarang error, fiturnya lengkap untuk kebutuhan sehari-hari",positif
"Adminnya fast response, dijelasin detail sampai paham, pengiriman juga aman",positif
"Fiturnya lengkap, tampilannya simpel, tidak bikin hp lemot sama sekali",positif
Ongkirnya mahal tapi barangnya dibungkus asal-asalan sampai penyok,negatif
"Kualitasnya mengecewakan, baru dipakai seminggu sudah rusak. Buang-buang uang",negatif
"Pelayanannya ramah, makanannya enak, harganya juga terjangkau. Pasti balik lagi ke sini",positif
"Barang tidak sesuai pesanan, warnanya beda jauh dari gambar, mau retur dipersulit",negatif
"Sudah pakai 3 bulan dan masih awet, baterainya tahan lama, tidak menyesal beli",positif
"Kamarnya bersih, AC dingin, stafnya sangat membantu waktu check in. Puas banget nginep di sini",positif
"Barang datang rusak, pelayanannya lambat sekali, seller susah dihubungi. Kecewa berat",negatif
"Sangat membantu untuk kerjaan saya, worth it dengan harganya",positif
Sudah pesan berkali-kali di sini dan tidak pernah mengecewakan,positif
"Sudah menunggu lama tetapi pesanan tidak kunjung datang, tanpa kabar sama sekali",negatif
"Pengiriman lambat, sudah lewat estimasi 5 hari tapi barang belum sampai juga",negatif
"Tempatnya instagramable, pelayanannya cepat, kopinya juara. Bakal balik lagi",positif
"Servicenya memuaskan, teknisinya datang tepat waktu dan kerjanya rapi",positif
"Produk datang tanpa dus dan tanpa garansi, jelas beda dengan yang dijanjikan",negatif
