text,label
Hes off ,netral
"Heading to aledo, tx to meet the tour team and head to san angelo for the next event. Im going to miss my car ",netral
@tashamclellan obviously those people are stupid then because you're awesome ,netral
"@loveshaked YES! They are for some odd, unknown reason. Ugh!  I don't likey!",netral
My iPod is being gay &amp; doesn't let me open up twitter  wtf Ooh well I'm off to school gahhhhh just 3 mores weeks and schools over .NI ...,netral
@emmaxatl no i didnt get to go my bro was sick  i really want my ap like NOW!,netral
"@maneet i'm in university, and that pretty much takes most of my time. vid editing and vodka binging are rare moments. HAHA ",keluhan
"it's the weekend, which means i get to work my other job (three more days before i get a break) but when will i be able to rest? ",netral
"home fuckers. so tired, i hate you work. and no sleep in for me tmw  but ily Lake Distict &amp; my bestestness @xShellbellex xxxxxx",netral
"Child awake, no more fun on the computer ",netral
@janellecaminker you're so lucky you have air! it's 78 degrees in my house right now and feels no less colder outside ,netral
"please pray, i had my ultrasound and they saw the gest. sac and yolk sac but no baby yet  soooo worried",netral
Laying on my bed bored ,netral
"@_hmj_ I wasn't watching  oh Safina. i've lost your number btw, text me?",netral
@catieviox I went to funeral today too ,netral
@elKazloid Why aren't you coming to school?  Viva la Treeman!,netral
@ddlovato what a great friend and such wise words. That's a total keeper ,keluhan
why did heath ledger died  ?   buu  he was real good. In my filosophy class there's a guy just like him O.O its kind of scary o.O,netral
@dravenxiv Ooh lovely dragon! Did you find it hurt on your ankle - mine did ,netral
"@kristen_bell  Please tweet at least once more, Ms. Bell. Although you do seem very busy. Caught you on Party Down last week!",netral
@swiftkaratechop STOP NOMNOMS!!!! ..you didn't share!  Night peoples!!,netral
@Amathria ughs that sucksm sorry to hear that bout ur headaches. ,netral
"Didnt particularly care for Sex and Lies in Sin City...the movie, that is. The real thing is sooo much better ",keluhan
@wonderdidi ok didi...will have it later today...forgot to keep the milk in stock again oh ,netral
The downside of defecting to Woolworths - I now have the inane gushings of the Carpenters stuck in my head for the rest of the evening. ,netral
WAH. i'm gonna miss bowie people  ESP YOU ALYANNA BONDOC &lt;3 and Cesar. D:&lt; I dunno if I can survive without my SOSA!,netral
@aliiiyeah I didnt  I turned it on just as it finished I was gutted lol,netral
Is tired of typing mammograms. ,netral
@los_so3 I wanted to go so bad  had noone to go with!,netral
@MaraBG I'm actually about to go back to bed. Been up since 1:00 am CST. Dtr texted me then. Having some probs in marr. bummer ,netral
@Industry_COG whaaaaaaa! ,netral
wow... never noticed how sad pokemon can be  Pikachu will be okay &lt;3,netral
i can hear my sister and her friends watching Transformers. While i am in my room.. Alone ,netral
"I was awakened by my phone ringing... which brought me to reality... Unfortunately, reality consists of a heavy headache! ",netral
@twitter where did the nudge button go? ,netral
happy fathers day! too bad my daughter won't get to celebrate this holiday ,netral
"Start of a long workday, prob not much tweeting. Streaming Bill Bennett while digging out from under Monday's piles and piles. ",netral
@Mickystarship rofl you're so random. [borat] ye but i wanna go but idk.  not bothered any more.,netral
Can someone bring me something to eat? I'm so hungry ,netral
@RoushTVGuideMag Just too bad for those of us who bought all of the DVD sets when they first came out and thus won't get the cool extras ,netral
Okay soon I'll be heading out and most likely unable to twitter  hanging out with friends tonight so can't have the phone consume me,netral
i am no good at geometry... ,netral
Had so much fun last night with @squidallen and is not ready for her to leave tomorrow ,netral
"@oliviamunn ugh, i cant find any place that has Playboy!  I thought convenience stores and gas stations carried magazines?! lol",netral
Gave a talk on &quot;Making sense of statistics&quot; to health service managers this morning. I think I made it too technical ,netral
I (or my toddler) apparently lost the A/C adapter to my 8-yr-old notebook. Enjoyed using that machine as my dinky Linux test computer. ,netral
jaja twitter sucks!!! idk what to do ,netral
