text,target
"@PeachyPictures sounds fun, I'd usually ask a friend to help, but i guess, its time I learn to make it on my own ",4
It's so nice outside. 1 more exam and it will be SUMMER on this beautiful exam. Summer begins at 10:15 for me. French exam  havent studied,0
@lrobertsglobal too bad they couldn't lose ur shirts Leslie ,4
@jun6lee I'm Woohoooing with you ,4
can't wear that jacket ,0
In bed now can't sleep but the good news is five nights down only ONE more to go ,4
tired wanting to read the twilight saga eclipse book and twilight saga breaking dawn i have to wait till the sister is done  o well,0
@lightsup Gender and puppy haven't determined yet. I imagine this process to be me falling in love with some dog and not having a choice ,4
"have been studying for 5 and a half hours, and am still only 2/3 way through. looks like a late night for me ",0
54 pitches in 2 innings for Silva; As lead 2-0 ,0
Please feel free to check my blog out. Gonna take a break and will be back later ,4
I love my job but hate going to work  Haha frowny face.,0
@lisahughey Very doubtful ,0
"i miss him.  Hope he's enjoying his trip. on the other hand, super sore right now! volleyball ftw!",0
"@Whitneyfleming @whentoyzattack There are a few differences, but so far they're fairly similar. I'm enjoying both the books and series. ",4
And we're off to a farewell brunch for some dear friends at church ,0
"Pink bridesmaid dress http://www.flickr.com/photos/nirak/3602207406/ I doubt @melissaholt will let me wear chucks, tho.  Maybe @ reception",0
@twitter where did the nudge button go? ,0
Listening to a banging tune on The Vault! Dunno what it's called though ,0
@CathysMum I loved that show! Giles and Sue are a great double act ,4
Okay soon I'll be heading out and most likely unable to twitter  hanging out with friends tonight so can't have the phone consume me,0
@UglyEgo they havent asid anything to be about my phone. aint this point im not sure there going to do anything bout ,0
I miss being excited about the first day of school. I especially miss shopping for school supplies and obsessing about note-taking. ,0
Aaahhh I'm just so busy. Sorry everyone. ,0
about to workout and then getting ready to meet up with her lawyer cousin visiting from Chile tonight.  http://tinyurl.com/om4g42,4
"make me loose control, music makes u loose control,     !!!",4
Reading through Spotify-agreement... ,4
vol. 25 is creativitae's blog of the week  http://bit.ly/q07SR,4
@beet09 i have an internet connection intact today  so i can tweet. Therefore: I AM GREAT! lol,4
"I'm not as young as I used to be, these coasters are wicked! Damn now my head aches ",0
"@jamesscottbell Nice mention of you in a Writer's Digest letter to the editor, current issue. ",4
@kirstiealley I hav 2 days left of peace thn my noise starts the kids wil be hom 4 summer yay! Boo! jk luv them. eggs wish eatin problem ,0
@Supertoan got a fetish for my kicks  haha how was soccertournament?,4
"is laughing at jamie's status!  i want to go shopping too! lolz. anywho, i had a fun day with toddy.",4
"@never_jen_land is it that sure?I mean, the pictures don't show something very interesting :/ ad it will pass like... almost everything ",4
