id,review,sentimen,tanggal
1,"Barangnya bagus banget, pengiriman cepat",Positif,2024-01-03
2,"barangnya bagus banget, pengiriman cepat",positif,2024-01-03
3,,negatif,2024-01-04
4,"Kecewa, barang rusak pas sampai", NEGATIF ,2024-01-05
5,ok,positif,2024-01-05
6,Pelayanan lambat dan tidak ramah sama sekali,Negatif,
7,"Produknya sesuai deskripsi, saya puas",POSITIF,2024-01-06
8,"Produknya sesuai deskripsi, saya puas",Positif,2024-01-06
9,NA,positif,2024-01-07
10,Harga mahal kualitas biasa saja,negatif,2024-01-07
11,Mantap!!! 👍👍👍,Positif,2024-01-08
12,"Tidak sesuai gambar, mengecewakan sekali",negatif ,2024-01-08
13,,,2024-01-09
14,"Pengiriman cepat, seller ramah, recommended",positif,2024-01-09
15,"Barang tidak pernah sampai, uang tidak kembali",Negatif,2024-01-10
16,bagus,positif,2024-01-10
17,"Sudah pakai sebulan, masih berfungsi dengan baik",positif,2024-01-11
18,Kemasan penyok dan isinya bocor,NEGATIF,2024-01-11
